Nummer;Kurzbezeichnung;Langbezeichnung;SPT;Stellen
# GRUA-UNSPEZ.-PERIODEN:;;;;
5303;WGBJ3;Weitere Gebäude -Baujahr- 3;JINT;4
5304;WGBJ4;Weitere Gebäude -Baujahr- 4;JINT;4
5305;WGBJ5;Weitere Gebäude -Baujahr- 5;JINT;4
#;;;;
531;WGQU;Weitere Gebäude -Gebäudequalität-;KINT;
5311;WGQU1;Weitere Gebäude -Gebäudequalität- 1;KINT;1
5312;WGQU2;Weitere Gebäude -Gebäudequalität- 2;KINT;1
5313;WGQU3;Weitere Gebäude -Gebäudequalität- 3;KINT;1
5314;WGQU4;Weitere Gebäude -Gebäudequalität- 4;KINT;1
5315;WGQU5;Weitere Gebäude -Gebäudequalität- 5;KINT;1
#;;;;
552;VERM;Vermietung Eigentumswohnung;;
5521;VERMAU;Vermietung Eigentumswohnung -Ausprägung;KINT;1
5522;VERMMI;Vermietung Eigentumswohnung -Miete;DEZ;2.2
#;;;;
560;FORD;Förderung mit öffentlichen Mitteln;KINT;
5601;FORDAU;Förderung mit öffentlichen Mitteln -Ausprägung;KINT;1
5602;FORDJA;Förderung mit öffentlichen Mitteln -Jahre der restlichen Mietpreisbindung;KINT;2
#;;;;
575;ENER;Energieausweis;KINT;
5751;ENERAU;Energieausweis -Ausprägung;KINT;1
5752;ENEREB;Energieausweis -Endenergieverbrauchskennwert oder Endenergiebedarf;NINT;3
#;;;;
584;WGSW;Weitere Gebäude - Sachwert 2010-;NINT;
5841;WGSW1;Weitere Gebäude - Sachwert 2010- 1;NINT;9
5842;WGSW2;Weitere Gebäude - Sachwert 2010- 2;NINT;9
5843;WGSW3;Weitere Gebäude - Sachwert 2010- 3;NINT;9
5844;WGSW4;Weitere Gebäude - Sachwert 2010- 4;NINT;9
5845;WGSW5;Weitere Gebäude - Sachwert 2010- 5;NINT;9
#;;;;
585;WGGT;Weitere Gebäude - Gebäudetyp -;KSTR;
5851;WGGT1;Weitere Gebäude - Gebäudetyp - 1;KSTR;6
5852;WGGT2;Weitere Gebäude - Gebäudetyp - 2;KSTR;6
5853;WGGT3;Weitere Gebäude - Gebäudetyp - 3;KSTR;6
5854;WGGT4;Weitere Gebäude - Gebäudetyp - 4;KSTR;6
5855;WGGT5;Weitere Gebäude - Gebäudetyp - 5;KSTR;6
#;;;;
586;WGRD;Weitere Gebäude - Restnutzungsdauer -;NINT;
5861;WGRD1;Weitere Gebäude - Restnutzungsdauer - 1;NINT;3
5862;WGRD2;Weitere Gebäude - Restnutzungsdauer - 2;NINT;3
5863;WGRD3;Weitere Gebäude - Restnutzungsdauer - 3;NINT;3
5864;WGRD4;Weitere Gebäude - Restnutzungsdauer - 4;NINT;3
5865;WGRD5;Weitere Gebäude - Restnutzungsdauer - 5;NINT;3
#;;;;
587;WGDF;Weitere Gebäude - Dachform -;KINT;
5871;WGDF1;Weitere Gebäude - Dachform - 1;KINT;1
5872;WGDF2;Weitere Gebäude - Dachform - 2;KINT;1
5873;WGDF3;Weitere Gebäude - Dachform - 3;KINT;1
5874;WGDF4;Weitere Gebäude - Dachform - 4;KINT;1
5875;WGDF5;Weitere Gebäude - Dachform - 5;KINT;1
#;;;;
588;WGBF;Weitere Gebäude - Bruttogrundfläche -;NINT;
5881;WGBF1;Weitere Gebäude - Bruttogrundfläche - 1;NINT;7
5882;WGBF2;Weitere Gebäude - Bruttogrundfläche - 2;NINT;7
5883;WGBF3;Weitere Gebäude - Bruttogrundfläche - 3;NINT;7
5884;WGBF4;Weitere Gebäude - Bruttogrundfläche - 4;NINT;7
5885;WGBF5;Weitere Gebäude - Bruttogrundfläche - 5;NINT;7
#;;;;
589;WGST;Weitere Gebäude - Standardstufe -;DEZ;
5891;WGST1;Weitere Gebäude - Standardstufe - 1;DEZ;1.1
5892;WGST2;Weitere Gebäude - Standardstufe - 2;DEZ;1.1
5893;WGST3;Weitere Gebäude - Standardstufe - 3;DEZ;1.1
5894;WGST4;Weitere Gebäude - Standardstufe - 4;DEZ;1.1
5895;WGST5;Weitere Gebäude - Standardstufe - 5;DEZ;1.1
#;;;;
590;WGKK;Weitere Gebäude - Normalherstellungskosten -;NINT;
5901;WGKK1;Weitere Gebäude - Normalherstellungskosten - 1;NINT;4
5902;WGKK2;Weitere Gebäude - Normalherstellungskosten - 2;NINT;4
5903;WGKK3;Weitere Gebäude - Normalherstellungskosten - 3;NINT;4
5904;WGKK4;Weitere Gebäude - Normalherstellungskosten - 4;NINT;4
5905;WGKK5;Weitere Gebäude - Normalherstellungskosten - 5;NINT;4
#;;;;
597;WGNF;Weitere Gebäude – Nutzfläche -;NINT;
5971;WGNF1;Weitere Gebäude – Nutzfläche - 1;NINT;6
5972;WGNF2;Weitere Gebäude – Nutzfläche - 2;NINT;6
5973;WGNF3;Weitere Gebäude – Nutzfläche - 3;NINT;6
5974;WGNF4;Weitere Gebäude – Nutzfläche - 4;NINT;6
5975;WGNF5;Weitere Gebäude – Nutzfläche - 5;NINT;6
#;;;;
101;KFKZ;Kauffallkennzeichen;FSTR;13
102;STAT;Status;KINT;1
104;GEME;Gemeindeteil;NSTR;7
105;GEMA;Gemarkung;NSTR;6
106;FLUR;Flurstücksbezeichnung;FSTR;15
107;LABE;Lagebezeichnung;STR;25
108;STSC;Straßenschlüssel;STR;5
109;HAUS;Hausnummer;FSTR;8
110;BRZO;Bodenrichtwertzone;NSTR;8
112;AFTN;Aufteilungsplannummer;STR;20
113;BEPL;Bebauungsplan;STR;80
114;VERW;Verwendung bzw. Eignung;KSTR;1
